date,open,close,high,low,volume
2021-11-05,3520.210,3491.570,3525.870,3491.460,354533565.000
2021-11-08,3491.970,3498.630,3507.270,3484.240,298183722.000
2021-11-09,3507.110,3507.000,3514.950,3489.040,287315989.000
2021-11-10,3498.940,3492.460,3498.940,3448.440,307030708.000
2021-11-11,3486.450,3532.790,3534.200,3482.830,322087957.000
2021-11-12,3534.150,3539.100,3543.650,3527.390,308683354.000
2021-11-15,3542.900,3533.300,3550.440,3521.290,313017612.000
2021-11-16,3530.460,3521.790,3549.770,3517.810,310399909.000
2021-11-17,3518.560,3537.370,3537.510,3513.520,276735671.000
2021-11-18,3531.490,3520.710,3537.980,3513.110,312426927.000
2021-11-19,3519.280,3560.370,3561.910,3517.650,317989976.000
2021-11-22,3562.760,3582.080,3585.190,3562.750,330009385.000
2021-11-23,3580.510,3589.090,3598.370,3577.360,360011593.000
2021-11-24,3590.020,3592.700,3602.740,3575.290,336775246.000
2021-11-25,3593.390,3584.180,3597.150,3579.530,306451518.000
2021-11-26,3576.110,3564.090,3576.110,3554.880,301000066.000
2021-11-29,3528.670,3562.700,3563.680,3526.360,333618331.000
2021-11-30,3570.750,3563.890,3582.120,3546.360,349187938.000
2021-12-01,3561.890,3576.890,3576.890,3558.690,329873517.000
2021-12-02,3573.250,3573.840,3586.870,3567.140,354041524.000
2021-12-03,3576.450,3607.430,3608.470,3573.210,377551048.000
2021-12-06,3615.240,3589.310,3626.130,3586.810,418676743.000
2021-12-07,3611.220,3595.090,3614.220,3572.570,403842594.000
2021-12-08,3602.820,3637.570,3637.720,3591.990,361036657.000
2021-12-09,3641.160,3673.040,3688.400,3638.700,431918157.000
2021-12-10,3654.370,3666.350,3667.850,3651.350,419988801.000
2021-12-13,3686.940,3681.080,3708.940,3678.060,424092009.000
2021-12-14,3669.810,3661.530,3671.680,3654.660,362171934.000
2021-12-15,3655.050,3647.630,3668.400,3645.240,377477667.000
2021-12-16,3648.930,3675.020,3675.020,3644.660,381329507.000
2021-12-17,3670.260,3632.360,3673.650,3631.660,408487837.000
2021-12-20,3620.040,3593.600,3643.950,3589.360,423851410.000
2021-12-21,3591.450,3625.130,3627.090,3591.450,408184348.000
2021-12-22,3632.680,3622.620,3635.900,3616.550,394825177.000
2021-12-23,3625.470,3643.340,3643.550,3618.050,382925734.000
2021-12-24,3645.390,3618.050,3648.960,3612.070,390347625.000
2021-12-27,3613.050,3615.970,3632.190,3601.940,329235293.000
2021-12-28,3619.640,3630.110,3631.080,3607.360,316202242.000
2021-12-29,3630.920,3597.000,3630.920,3596.320,305131766.000
2021-12-30,3596.490,3619.190,3628.920,3595.500,307839291.000
2021-12-31,3626.240,3639.780,3642.840,3624.940,329681932.000
2022-01-04,3649.150,3632.330,3651.890,3610.090,405027769.000
2022-01-05,3628.260,3595.180,3628.260,3583.470,423902028.000
2022-01-06,3581.220,3586.080,3594.490,3559.880,371540543.000
2022-01-07,3588.990,3579.540,3607.230,3577.100,436306961.000
2022-01-10,3572.740,3593.520,3593.520,3555.130,356222610.000
2022-01-11,3589.900,3567.440,3602.150,3562.750,359761863.000
2022-01-12,3578.160,3597.430,3599.500,3572.100,343132956.000
2022-01-13,3601.030,3555.260,3601.070,3555.160,369368365.000
2022-01-14,3544.070,3521.260,3548.420,3519.320,376937024.000
2022-01-17,3522.090,3541.670,3546.090,3519.430,312886733.000
2022-01-18,3541.890,3569.910,3579.310,3531.330,377146435.000
2022-01-19,3567.630,3558.180,3578.730,3541.660,333235269.000
2022-01-20,3556.230,3555.060,3576.260,3540.550,379509846.000
2022-01-21,3546.750,3522.570,3547.000,3514.890,326534880.000
2022-01-24,3508.240,3524.110,3531.610,3500.140,280268342.000
2022-01-25,3509.280,3433.060,3519.830,3433.060,327353813.000
2022-01-26,3442.690,3455.670,3462.120,3417.760,275122828.000
2022-01-27,3456.100,3394.250,3456.360,3392.020,280606534.000
2022-01-28,3407.590,3361.440,3417.050,3356.560,290855257.000
2022-02-07,3407.760,3429.580,3434.030,3407.760,320485211.000
2022-02-08,3428.540,3452.630,3453.190,3390.460,366093865.000
2022-02-09,3450.820,3479.950,3484.740,3444.080,350249936.000
2022-02-10,3481.910,3485.910,3488.860,3464.220,355666267.000
2022-02-11,3472.280,3462.950,3500.150,3459.330,361356090.000
